scenario,model,n_test,events,accuracy,precision,recall,f1,specificity,auc_roc,tn,fp,fn,tp,positive_predictions,accuracy_std,precision_std,recall_std,f1_std,auc_roc_std
eICU_internal_validation_24h_shared_features,LogisticRegression,331,29,0.743202416918429,0.18888888888888888,0.5862068965517241,0.2857142857142857,0.7582781456953642,0.7153459693994063,229.0,73.0,12.0,17.0,90.0,,,,,
eICU_internal_validation_24h_shared_features,RandomForest,331,29,0.9123867069486404,,0.0,0.0,1.0,0.7649577529116238,302.0,0.0,29.0,0.0,0.0,,,,,
eICU_internal_validation_24h_shared_features,GradientBoosting,331,29,0.8942598187311178,0.2,0.06896551724137931,0.10256410256410257,0.9735099337748344,0.732416076729847,294.0,8.0,27.0,2.0,10.0,,,,,
train_eICU_test_MIMIC_24h_shared_features,LogisticRegression,110,33,0.5636363636363636,0.35294117647058826,0.5454545454545454,0.42857142857142855,0.5714285714285714,0.5977961432506887,44.0,33.0,15.0,18.0,51.0,,,,,
train_eICU_test_MIMIC_24h_shared_features,RandomForest,110,33,0.7,,0.0,0.0,1.0,0.6420700511609603,77.0,0.0,33.0,0.0,0.0,,,,,
train_eICU_test_MIMIC_24h_shared_features,GradientBoosting,110,33,0.7090909090909091,0.6666666666666666,0.06060606060606061,0.1111111111111111,0.987012987012987,0.6131444313262495,76.0,1.0,31.0,2.0,3.0,,,,,
train_MIMIC_test_eICU_24h_shared_features,LogisticRegression,1324,117,0.6261329305135952,0.0944206008583691,0.37606837606837606,0.1509433962264151,0.6503728251864126,0.5389395194697598,785.0,422.0,73.0,44.0,466.0,,,,,
train_MIMIC_test_eICU_24h_shared_features,RandomForest,1324,117,0.8882175226586103,0.10256410256410256,0.03418803418803419,0.05128205128205128,0.9710024855012428,0.5918821121803723,1172.0,35.0,113.0,4.0,39.0,,,,,
train_MIMIC_test_eICU_24h_shared_features,GradientBoosting,1324,117,0.743202416918429,0.10877192982456141,0.26495726495726496,0.15422885572139305,0.7895608947804474,0.5571134195823508,953.0,254.0,86.0,31.0,285.0,,,,,
integrated_5fold_cv_24h_shared_features,LogisticRegression,1434,150,0.699454204332253,0.19636117556408275,0.6,0.29535553132908837,,0.7168253485732814,,,,,,0.030531823468223692,0.022711107590475576,0.06992058987801009,0.032127286384205936,0.055476348897420924
integrated_5fold_cv_24h_shared_features,RandomForest,1434,150,0.895397285641188,0.2,0.006666666666666666,0.012903225806451613,,0.7150016212710766,,,,,,0.002208521893794821,0.4,0.013333333333333332,0.025806451612903226,0.03192989542327219
integrated_5fold_cv_24h_shared_features,GradientBoosting,1434,150,0.8828537316342194,0.36803030303030304,0.07999999999999999,0.1274170382186102,,0.7094909715466927,,,,,,0.01923985890472875,0.2667942188058919,0.045215533220835116,0.07767973080838775,0.06160150692759299
